country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
澳大利亚,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
新西兰,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
中国,15.7,15.7,15.5,15.2,14.8,14.1,13.4,12.6,11.8,11.1,10.4,9.7,9.1,8.8,8.7
泰国,17.1,15.8,14.2,12.5,11.0,10.3,10.0,9.8,9.2,8.8,8.8,9.0,9.2,9.2,9.0
印度尼西亚,18.4,18.4,18.4,18.5,18.3,17.8,16.9,14.8,12.4,10.1,8.5,7.6,6.9,7.3,7.7
德国,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
法国,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
英国,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
俄罗斯,3.7,3.1,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
乌克兰,2.8,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.9,3.3
印度,21.0,22.2,22.8,22.2,20.7,19.2,18.1,17.7,17.5,17.4,17.2,16.7,16.0,15.3,14.8
孟加拉国,18.2,17.5,17.1,16.6,16.3,16.3,16.4,16.6,16.9,17.0,17.0,16.8,16.5,15.8,15.2
加拿大,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
美国,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
以色列,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
阿根廷,4.9,5.3,5.2,4.7,4.4,4.2,4.1,4.1,4.0,3.9,3.7,3.5,3.4,3.6,3.8
巴西,8.7,6.9,5.6,4.6,3.9,3.2,2.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
墨西哥,4.8,5.5,5.8,5.5,5.0,4.7,4.7,4.7,4.6,4.6,4.6,4.4,4.2,4.0,3.8
