country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
美国,0.93016,0.94098,0.89041,0.85556,0.88308,0.81844,0.85824,0.86799,0.9461,0.95297,0.9791,0.86583,0.94101,0.98534,0.98826,1.02957,0
孟加拉国,0,0,0,0,33.19758,0,0,0,32.89474,0,0,24.35326,0,0,22.25752,19.55836,0
印度尼西亚,20.65634,21.00927,19.49944,21.49186,21.26498,21.58047,21.95864,21.81957,20.45174,17.57342,16.55711,15.99585,15.07699,14.8927,14.85818,14.76272,0
以色列,1.16397,1.09562,1.29559,1.3844,1.11857,1.19556,1.15464,1.21212,1.17005,0.9841,1.02284,0.86236,0.73931,0.69117,0,0,0
泰国,0,0,0,0,0,0,0,0,13.86332,11.90275,12.28486,17.92031,9.55003,9.23999,9.1052,0,0
俄罗斯,8.25837,7.90755,6.96117,6.75403,6.37889,5.69878,5.83311,5.79382,5.40532,5.13619,4.89504,4.50625,4.38248,4.31686,4.26174,4.25948,0
乌克兰,0,0,0,0,0,0,0,7.40583,7.24717,7.16114,6.94327,6.65374,6.54347,7.3139,7.82115,7.82053,0
加拿大,0.90229,0.89063,0.86188,0.92599,1.00058,0.88914,0.85655,0.84788,0.79115,0.80363,0.80623,0.80877,0.81581,0.7704,0.77074,0.71749,0.74698
澳大利亚,0,0,2.17549,2.1071,1.9564,1.89553,1.85069,1.82908,1.85471,1.80389,1.84691,1.70565,1.70948,1.64059,1.7714,0,0
阿根廷,0.88804,1.28983,1.42359,1.15169,0.87895,0,0.75207,0.78471,0.70799,0.54361,0.51503,0.5618,0.55727,0,0,0.06947,0
新西兰,0,0,0,0,0,0,0,0,0,77.2,75.6,76.5,78.3,77.4,79.3,80.5,0
英国,0.79071,0.65943,0.65583,0.72911,0.7511,0.75898,0.57994,0.51114,0.57278,0.57054,0.60869,0.54247,0.61788,0.63171,0.63329,0.62972,0
德国,1.38906,1.38178,1.32769,1.36823,1.35946,1.33401,0.93101,0.85558,0.84829,0.84642,0.81508,0.77197,0.76613,0.7858,0.76829,0.76175,0
法国,1.56719,1.30836,1.35401,1.30243,1.31437,1.44011,1.04796,1.05843,1.08018,1.09383,1.16406,1.26765,1.1582,1.13442,1.24563,1.13689,0
巴西,9.12882,9.23134,9.26913,9.10145,8.52587,8.21444,7.87179,7.85956,0,6.58179,6.37506,6.10356,5.91973,6.11207,6.39749,6.29077,0
