country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
中国,1327998.295,1335892.966,1343743.906,1351536.6940000001,1359288.278,1367035.719,1374798.44,1382593.743,1390419.704,1398280.527,1406131.4449999998,1413857.492,1421307.389,1428360.9469999997,1434972.069,1441131.303,1446801.318,1451953.148,1456565.693
乌克兰,47979.587,47580.556,47215.965,46892.16900000001,46616.385,46386.346000000005,46186.425,45994.027,45792.505,45576.30100000001,45349.335999999996,45115.78999999999,44883.428,44657.714,44438.626000000004,44222.956,44009.210999999996,43795.22,43579.23299999999
以色列,6239.28,6349.516,6468.826999999999,6602.974,6755.218999999999,6922.6900000000005,7097.409,7267.896000000001,7425.956,7568.779,7699.103999999999,7821.108,7941.321,8064.554,8191.822,8321.577,8452.843,8583.92,8713.563999999998
俄罗斯,145194.88400000002,144584.70399999997,144044.611,143618.19,143322.934,143150.14,143083.191,143092.765,143153.874,143263.99200000003,143420.599,143597.224,143761.381,143887.997,143964.51,143989.76,143964.717,143895.558,143786.843
加拿大,31320.892,31627.801,31949.415999999997,32287.979,32645.476,33019.93,33404.554000000004,33789.83899999999,34168.668000000005,34538.615,34900.709,35255.505,35604.725,35949.706,36289.816,36624.2,36953.776,37279.805,37603.216
印度,1089807.114,1108027.846,1126135.7680000002,1144118.673,1161977.713,1179681.2400000002,1197146.909,1214270.129,1230980.684,1247236.0350000001,1263065.849,1278562.206,1293859.299,1309053.9840000002,1324171.357,1339180.131,1354051.858,1368737.524,1383197.754
印度尼西亚,217508.068,220545.211,223614.64500000002,226712.734,229838.201,232989.138,236159.27899999998,239340.472,242524.122,245707.505,248883.233,252032.265,255131.112,258162.114,261115.454,263991.376,266794.988,269536.48199999996,272222.98199999996
墨西哥,104355.603,105640.457,106995.58299999998,108472.22899999999,110092.37899999999,111836.342,113661.815,115505.228,117318.94,119090.022,120828.30900000001,122535.966,124221.59400000001,125890.95000000001,127540.43,129163.276,130759.07,132328.03399999999,133870.037
孟加拉国,136600.672,139018.995,141307.487,143431.106,145368.014,147139.189,148805.815,150454.713,152149.111,153911.92200000002,155727.049,157571.29,159405.281,161200.88799999998,162951.549,164669.741,166368.153,168065.911,169775.31
巴西,180151.029,182482.147,184738.461,186917.37,189012.414,191026.63600000003,192979.03399999999,194896.001,196796.271,198686.68200000003,200560.983,202408.626,204213.13299999997,205962.11200000002,207652.86,209288.278,210867.959,212392.71600000001,213863.05099999998
德国,81611.856,81686.5,81715.66,81671.243,81540.36,81344.452,81130.94399999999,80965.614,80894.79800000001,80933.98000000001,81066.223,81265.15,81489.655,81707.799,81914.668,82114.225,82293.462,82438.639,82540.44699999999
新西兰,3963.202,4022.074,4080.4210000000003,4135.353,4185.9220000000005,4233.145,4278.33,4323.478999999999,4370.0599999999995,4418.373,4467.745,4517.528,4566.701,4614.527,4660.834,4705.815,4749.605,4792.406,4834.421
法国,60225.07399999999,60550.098,60886.602,61233.908,61592.883,61960.952999999994,62329.563,62687.524,63026.743,63343.576,63639.88,63919.91,64190.643,64457.199,64720.689,64979.547999999995,65233.278999999995,65480.712,65721.164
泰国,64073.16,64554.957,65002.23,65425.466,65824.17,66195.611,66545.766,66881.87,67208.804,67530.13,67843.97200000001,68143.06700000001,68416.768,68657.593,68863.519,69037.50200000001,69183.17499999999,69306.152,69410.86600000001
澳大利亚,19475.193,19696.967,19948.432,20238.901,20573.61,20946.66,21342.495,21739.049000000003,22120.061,22479.799,22821.852,23150.733,23474.67,23799.546000000002,24125.843999999997,24450.559,24772.245,25088.646,25398.179000000004
美国,287506.853,290027.61699999997,292539.33400000003,295129.505,297827.354,300595.177,303374.066,306076.363,308641.395,311051.373,313335.428,315536.673,317718.77800000005,319929.164,322179.605,324459.468,326766.752,329093.10699999996,331431.527
英国,59348.952000000005,59580.223000000005,59884.123999999996,60286.751,60802.8,61414.661,62076.224,62722.613,63306.845,63811.881,64250.333,64641.111999999994,65015.685,65397.09,65788.589,66181.58600000001,66573.503,66959.023,67334.204
阿根廷,37889.378,38309.379,38728.688,39145.493,39558.883,39970.22,40382.399000000005,40799.409,41223.895000000004,41656.883,42096.729999999996,42539.918999999994,42981.51,43417.763999999996,43847.43,44271.036,44688.858,45101.78,45510.412
